measurement_mode,case_name,cudss_reordering_alg,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_default,elapsed_speedup_vs_default,analyze_ratio_vs_default,solve_ratio_vs_default,runs,success_all
end2end,case30_ieee,DEFAULT,10.930900000000001,10.2448,0.6856,1.0,1.0,1.0,1.0,10,True
end2end,case30_ieee,ALG_1,4.2672,3.1334,1.1334,0.3903795661839372,2.561609486314211,0.30585272528502266,1.6531505250875145,10,True
end2end,case30_ieee,ALG_2,4.141900000000001,3.0283,1.1134000000000002,0.3789166491322764,2.6391028272049057,0.29559386225206935,1.6239789964994167,10,True
end2end,case118_ieee,DEFAULT,11.4872,10.6962,0.7904,1.0,1.0,1.0,1.0,10,True
end2end,case118_ieee,ALG_1,5.7006,3.2353,2.4651,0.49625670311303016,2.015086131284426,0.30247190591051026,3.1188006072874495,10,True
end2end,case118_ieee,ALG_2,5.7105999999999995,3.2448,2.4652,0.49712723727279057,2.01155745455819,0.30336007180120045,3.1189271255060724,10,True
end2end,case793_goc,DEFAULT,15.4787,14.042800000000002,1.4356,1.0,1.0,1.0,1.0,10,True
end2end,case793_goc,ALG_1,17.993499999999997,4.127000000000001,13.866,1.162468424350882,0.8602384194292384,0.2938872589512063,9.658679297854556,10,True
end2end,case793_goc,ALG_2,18.0155,4.0383,13.9764,1.1638897323418633,0.8591879215120313,0.287570854815279,9.735580941766509,10,True
end2end,case1354_pegase,DEFAULT,19.2238,17.0543,2.1691000000000003,1.0,1.0,1.0,1.0,10,True
end2end,case1354_pegase,ALG_1,25.7544,4.911300000000001,20.8428,1.339714312466838,0.7464277948622371,0.28798015749693623,9.608962242404683,10,True
end2end,case1354_pegase,ALG_2,25.2069,4.5983,20.6081,1.3112339911984103,0.7626403881476896,0.2696270148877409,9.500760684154718,10,True
end2end,case2746wop_k,DEFAULT,25.180600000000002,22.6711,2.5087,1.0,1.0,1.0,1.0,10,True
end2end,case2746wop_k,ALG_1,48.8823,6.778700000000001,42.1029,1.941268277960017,0.5151271523639436,0.299001812880716,16.782756009088374,10,True
end2end,case2746wop_k,ALG_2,47.9421,6.1662,41.7752,1.9039300096105731,0.5252293912865728,0.2719850382204657,16.652130585562244,10,True
end2end,case4601_goc,DEFAULT,37.2701,32.647299999999994,4.6221,1.0,1.0,1.0,1.0,10,True
end2end,case4601_goc,ALG_1,99.1608,10.5494,88.61099999999999,2.6605992471176623,0.3758551766423829,0.32313238767064967,19.171155968066465,10,True
end2end,case4601_goc,ALG_2,98.5714,10.0337,88.5373,2.6447849616716885,0.37810257336306474,0.30733628814633984,19.155210834901887,10,True
end2end,case8387_pegase,DEFAULT,55.8694,48.8733,6.9956000000000005,1.0,1.0,1.0,1.0,10,True
end2end,case8387_pegase,ALG_1,171.2151,17.808899999999998,153.4058,3.06455949052612,0.32631117232066564,0.3643891449932785,21.928898164560582,10,True
end2end,case8387_pegase,ALG_2,168.2467,15.878699999999998,152.36749999999998,3.0114284384654213,0.33206832585720847,0.3248951881702279,21.780476299388184,10,True
end2end,case9241_pegase,DEFAULT,61.2165,52.891,8.325199999999999,1.0,1.0,1.0,1.0,10,True
end2end,case9241_pegase,ALG_1,208.20669999999998,19.887999999999998,188.3183,3.401153283836874,0.2940179158499703,0.3760186042994082,22.62027338682554,10,True
end2end,case9241_pegase,ALG_2,207.4832,18.7505,188.732,3.389334574828682,0.29504316494058314,0.3545121098107428,22.669965886705427,10,True
operators,case30_ieee,DEFAULT,11.3001,10.4612,0.8384,1.0,1.0,1.0,1.0,10,True
operators,case30_ieee,ALG_1,4.384799999999999,3.1448,1.2394,0.38803196431889975,2.577107279693487,0.3006156081520284,1.4782919847328246,10,True
operators,case30_ieee,ALG_2,4.3456,3.1137,1.2310999999999999,0.38456296846930554,2.600354381443299,0.2976427178526364,1.468392175572519,10,True
operators,case118_ieee,DEFAULT,11.8477,10.9046,0.9425,1.0,1.0,1.0,1.0,10,True
operators,case118_ieee,ALG_1,5.804799999999999,3.2409000000000003,2.5634,0.4899516361825502,2.0410177783902976,0.2972048493296407,2.719787798408488,10,True
operators,case118_ieee,ALG_2,5.787999999999999,3.2253999999999996,2.5622000000000003,0.48853363944056655,2.04694194885971,0.29578343084569814,2.7185145888594167,10,True
operators,case793_goc,DEFAULT,15.882800000000003,14.216700000000001,1.6657,1.0,1.0,1.0,1.0,10,True
operators,case793_goc,ALG_1,18.3417,4.0992,14.241999999999999,1.1548152718664213,0.8659393622183332,0.2883369558336323,8.550159092273518,10,True
operators,case793_goc,ALG_2,17.8225,3.9077,13.914,1.1221258216435388,0.8911656613830833,0.2748668819064902,8.353244882031579,10,True
operators,case1354_pegase,DEFAULT,19.366600000000002,17.0203,2.3457,1.0,1.0,1.0,1.0,10,True
operators,case1354_pegase,ALG_1,25.9124,4.951,20.960800000000003,1.33799427880991,0.7473873512295272,0.29088793969554005,8.935840047746941,10,True
operators,case1354_pegase,ALG_2,25.3022,4.582199999999999,20.7196,1.3064864250823582,0.7654117033301452,0.26921969648008554,8.833013599352006,10,True
operators,case2746wop_k,DEFAULT,25.374299999999998,22.712300000000003,2.6616999999999997,1.0,1.0,1.0,1.0,10,True
operators,case2746wop_k,ALG_1,49.002900000000004,6.7746,42.227599999999995,1.931202043012024,0.5178122111140361,0.2982789061433673,15.864898373220122,10,True
operators,case2746wop_k,ALG_2,48.064099999999996,6.2066,41.8569,1.8942039780407736,0.5279262484889969,0.27327043055965267,15.72562647931773,10,True
operators,case4601_goc,DEFAULT,37.4952,32.7027,4.792,1.0,1.0,1.0,1.0,10,True
operators,case4601_goc,ALG_1,100.4906,11.0159,89.4743,2.6800923851586336,0.37312146608737534,0.33684986254957544,18.671598497495825,10,True
operators,case4601_goc,ALG_2,98.5402,9.783800000000001,88.7561,2.628075060274382,0.38050663587043665,0.29917407431190696,18.52172370617696,10,True
operators,case8387_pegase,DEFAULT,53.915699999999994,47.7716,6.1433,1.0,1.0,1.0,1.0,10,True
operators,case8387_pegase,ALG_1,169.97889999999998,17.485500000000002,152.4927,3.152679089764206,0.31719054541475444,0.36602290900869977,24.822603486725377,10,True
operators,case8387_pegase,ALG_2,170.3076,16.8005,153.5065,3.1587756442001127,0.31657835586902755,0.3516838456321329,24.987628798854036,10,True
operators,case9241_pegase,DEFAULT,59.4803,52.1663,7.3133,1.0,1.0,1.0,1.0,10,True
operators,case9241_pegase,ALG_1,211.19379999999998,20.852,190.3415,3.5506512240187087,0.2816384761295076,0.39972165938546533,26.02675946563111,10,True
operators,case9241_pegase,ALG_2,207.2386,18.644199999999998,188.5936,3.4841552581274806,0.287013616189262,0.35739931718369905,25.78775655312923,10,True
