analyze_ms_mean,backend,case_name,compute,elapsed_ms_mean,elapsed_ms_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,profile,runs,solve_ms_mean,speedup_vs_cpp,speedup_vs_pypower,success_all
,python,case_ACTIVSg200,fp64,7.836805470287801,0.0953728598859085,2.52435225500669e-13,pypower,2.0,pypower,pypower,10,,0.05266176397572925,1.0,True
0.002,cpu,case_ACTIVSg200,fp64,1.2083000000000002,0.008219894565422787,2.56128451781e-13,cpp_naive,3.0,pypower_like,cpp_naive,10,1.2062,0.3415542497724075,6.485811032266656,True
0.1686,cpu,case_ACTIVSg200,fp64,0.4127,0.02006683277893594,2.56128451781e-13,cpp,3.0,edge_based,cpp,10,0.24330000000000002,1.0,18.989109450661015,True
11.437100000000001,cuda,case_ACTIVSg200,mixed,12.005099999999999,0.25347428096576413,6.189402722999e-12,cuda_edge,3.0,edge_based,cuda_edge,10,0.5676,0.03437705641768915,0.6527896869070479,True
,python,case_ACTIVSg500,fp64,13.934743404388428,0.048724599428929996,3.471928421412708e-11,pypower,3.0,pypower,pypower,10,,0.104860201411375,1.0,True
0.004,cpu,case_ACTIVSg500,fp64,4.3582,0.02859603702147108,3.478008101171e-11,cpp_naive,4.0,pypower_like,cpp_naive,10,4.3539,0.33527603138910556,3.1973620770933935,True
0.48550000000000004,cpu,case_ACTIVSg500,fp64,1.4612,0.03793796105339462,3.478689418726e-11,cpp,4.0,edge_based,cpp,10,0.9753999999999999,1.0,9.536506572945818,True
13.9167,cuda,case_ACTIVSg500,mixed,14.9718,3.2194829743643965,8.402767021666e-11,cuda_edge,4.0,edge_based,cuda_edge,10,1.0545,0.09759681534618415,0.9307326710474645,True
,python,MemphisCase2026_Mar7,fp64,15.83328116685152,1.2618454205413747,5.963778581004823e-12,pypower,2.0,pypower,pypower,10,,0.19848696974948826,1.0,True
0.008,cpu,MemphisCase2026_Mar7,fp64,6.7306,0.0890058674720068,5.977355574888e-12,cpp_naive,3.0,pypower_like,cpp_naive,10,6.7225,0.46692716845452115,2.35243234880271,True
1.1935,cpu,MemphisCase2026_Mar7,fp64,3.1427,0.03718138721935428,2.11701206269e-12,cpp,3.0,edge_based,cpp,10,1.9485999999999999,1.0,5.038114095157514,True
14.3887,cuda,MemphisCase2026_Mar7,mixed,15.391,1.213184331510353,7.256102654297e-12,cuda_edge,3.0,edge_based,cuda_edge,10,1.0021,0.20419076083425378,1.0287363502599909,True
,python,case_ACTIVSg2000,fp64,39.35862388461828,0.6769267390073012,1.0249396060157314e-09,pypower,3.0,pypower,pypower,10,,0.2751417334037472,1.0,True
0.0151,cpu,case_ACTIVSg2000,fp64,23.980700000000002,0.3497488146274886,1.024859125266e-09,cpp_naive,4.0,pypower_like,cpp_naive,10,23.9652,0.4515798120988962,1.6412625104612577,True
2.3971999999999998,cpu,case_ACTIVSg2000,fp64,10.8292,0.2623969850775305,1.025027793975e-09,cpp,4.0,edge_based,cpp,10,8.4315,1.0,3.634490441086902,True
24.4216,cuda,case_ACTIVSg2000,mixed,26.6479,16.06907126162278,4.431811698476e-09,cuda_edge,4.0,edge_based,cuda_edge,10,2.2258,0.4063809906221504,1.4769878258556317,True
,python,Base_Florida_42GW,fp64,130.21073937416077,0.7275163554999535,6.1888867518609694e-12,pypower,4.0,pypower,pypower,10,,0.2871829173210315,1.0,True
0.046900000000000004,cpu,Base_Florida_42GW,fp64,92.7432,0.2176009599652038,4.992570245074e-12,cpp_naive,5.0,pypower_like,cpp_naive,10,92.6957,0.4032026067679355,1.4039923075132277,True
8.089300000000001,cpu,Base_Florida_42GW,fp64,37.3943,0.467423208190988,5.235145650317e-12,cpp,5.0,edge_based,cpp,10,29.3045,1.0,3.4821012660796105,True
35.092999999999996,cuda,Base_Florida_42GW,mixed,38.6769,27.406215533666405,3.822651084562e-10,cuda_edge,5.0,edge_based,cuda_edge,10,3.5833000000000004,0.9668380868166786,3.366628126198345,True
,python,Texas7k_20220923,fp64,118.11983436346054,1.1550519732275697,1.939473867107186e-12,pypower,3.0,pypower,pypower,10,,0.30748603903592475,1.0,True
0.1099,cpu,Texas7k_20220923,fp64,83.3726,0.47205607011597017,4.108199891384e-12,cpp_naive,4.0,pypower_like,cpp_naive,10,83.2624,0.43563712778538743,1.416770430134847,True
8.7241,cpu,Texas7k_20220923,fp64,36.3202,0.06619466242328896,3.877894193309e-12,cpp,4.0,edge_based,cpp,10,27.5956,1.0,3.252180174213263,True
58.440900000000006,cuda,Texas7k_20220923,mixed,62.8789,38.67764917436885,1.713764550594e-10,cuda_edge,4.0,edge_based,cuda_edge,10,4.4377,0.5776214278557671,1.8785289558732825,True
,python,Base_Texas_66GW,fp64,171.96327317506075,1.2269267256876102,6.520117779018619e-12,pypower,4.0,pypower,pypower,10,,0.2951240637780566,1.0,True
0.0701,cpu,Base_Texas_66GW,fp64,127.61710000000001,0.26055984597273113,2.51798581985e-12,cpp_naive,5.0,pypower_like,cpp_naive,10,127.5462,0.3976778973977625,1.3474939735745501,True
10.586,cpu,Base_Texas_66GW,fp64,50.750499999999995,0.48717216897337473,6.225686632888e-12,cpp,5.0,edge_based,cpp,10,40.163900000000005,1.0,3.3884054969913744,True
32.5311,cuda,Base_Texas_66GW,mixed,38.7655,9.751474740320623,4.031619482703e-11,cuda_edge,5.0,edge_based,cuda_edge,10,6.233899999999999,1.3091666559182777,4.435987493391307,True
,python,Base_MIOHIN_76GW,fp64,276.3898150995374,3.322839855589776,8.19602406479378e-12,pypower,4.0,pypower,pypower,10,,0.3075373814675065,1.0,True
0.8761,cpu,Base_MIOHIN_76GW,fp64,216.45000000000002,8.915442158911068,7.581057191752e-12,cpp_naive,5.0,pypower_like,cpp_naive,10,215.5733,0.3927013167013167,1.2769222226820853,True
11.7358,cpu,Base_MIOHIN_76GW,fp64,85.00019999999999,0.15434218837087502,7.494354309944e-12,cpp,5.0,edge_based,cpp,10,73.264,1.0,3.2516372326128336,True
48.5043,cuda,Base_MIOHIN_76GW,mixed,53.97429999999999,25.211681137696644,2.640034896434e-09,cuda_edge,5.0,edge_based,cuda_edge,10,5.4693,1.574827278908666,5.120767015033773,True
,python,Base_West_Interconnect_121GW,fp64,491.6097605600953,6.683962955980512,2.743505510932902e-11,pypower,4.0,pypower,pypower,10,,0.3228153969506069,1.0,True
1.4838,cpu,Base_West_Interconnect_121GW,fp64,405.989,2.6104416825084975,4.025764644203e-11,cpp_naive,5.0,pypower_like,cpp_naive,10,404.5049,0.3908953198239361,1.2108942866927315,True
32.7761,cpu,Base_West_Interconnect_121GW,fp64,158.6992,0.5494350229503425,1.282485816127e-10,cpp,5.0,edge_based,cpp,10,125.92269999999999,1.0,3.0977456758452178,True
82.8793,cuda,Base_West_Interconnect_121GW,mixed,98.8465,21.76078335114698,8.048070210265e-09,cuda_edge,5.7,edge_based,cuda_edge,10,15.9668,1.6055115760295,4.973466542164824,True
,python,case_ACTIVSg25k,fp64,484.9549476057291,1.5479821658782502,1.2096149457506435e-10,pypower,4.0,pypower,pypower,10,,0.2948581114719423,1.0,True
1.7335,cpu,case_ACTIVSg25k,fp64,425.85870000000006,2.715168259570262,1.209625096493e-10,cpp_naive,5.0,pypower_like,cpp_naive,10,424.1247,0.3357754579159707,1.1387696144419006,True
33.5576,cpu,case_ACTIVSg25k,fp64,142.99290000000002,0.3542859642216208,1.209629176481e-10,cpp,5.0,edge_based,cpp,10,109.43469999999999,1.0,3.3914617271607828,True
79.7506,cuda,case_ACTIVSg25k,mixed,92.0595,16.165979361678716,4.429101950476e-09,cuda_edge,5.0,edge_based,cuda_edge,10,12.308100000000001,1.5532660942108094,5.267842510612474,True
,python,case_ACTIVSg70k,fp64,2348.869435675442,15.15833845909634,3.0059840913141205e-11,pypower,6.0,pypower,pypower,10,,0.3314487762390784,1.0,True
5.136,cpu,case_ACTIVSg70k,fp64,2472.9494999999997,79.38374161732786,2.729540341948e-11,cpp_naive,7.0,pypower_like,cpp_naive,10,2467.813,0.3148183575928259,0.9498250715089176,True
98.5831,cpu,case_ACTIVSg70k,fp64,778.5299,5.345756561153078,2.579486283509e-11,cpp,7.0,edge_based,cpp,10,679.9463,1.0,3.0170574510695634,True
182.5116,cuda,case_ACTIVSg70k,mixed,214.5674,19.154564609454788,5.133279787489e-09,cuda_edge,7.0,edge_based,cuda_edge,10,32.0555,3.628369920127662,10.947000502757838,True
,python,Base_Eastern_Interconnect_515GW,fp64,2652.1317129954696,20.189214307910767,2.3086969894099333e-11,pypower,5.0,pypower,pypower,10,,0.3693898365603811,1.0,True
5.872,cpu,Base_Eastern_Interconnect_515GW,fp64,2874.0616999999997,151.44481613816373,2.325428738459e-11,cpp_naive,6.0,pypower_like,cpp_naive,10,2868.1892,0.3408662033943113,0.9227817596941185,True
119.4974,cpu,Base_Eastern_Interconnect_515GW,fp64,979.6705,40.13687172732272,3.363926647793e-11,cpp,6.0,edge_based,cpp,10,860.1725,1.0,2.7071670658608884,True
221.9553,cuda,Base_Eastern_Interconnect_515GW,mixed,272.7455,22.588529174733306,4.420317922842e-09,cuda_edge,6.8,edge_based,cuda_edge,10,50.789899999999996,3.5918851090118813,9.723833071473113,True
