analyze_sec_delta_mg_minus_baseline,analyze_sec_speedup_baseline_over_mg,baseline_analyze_sec_mean,baseline_elapsed_sec_mean,baseline_final_mismatch_mean,baseline_iterations_mean,baseline_solve_sec_mean,baseline_success_all,buses,case_name,elapsed_sec_delta_mg_minus_baseline,elapsed_sec_speedup_baseline_over_mg,measurement_mode,mg_analyze_sec_mean,mg_elapsed_sec_mean,mg_final_mismatch_mean,mg_iterations_mean,mg_solve_sec_mean,mg_success_all,profile,solve_sec_delta_mg_minus_baseline,solve_sec_speedup_baseline_over_mg
0.006230900000000001,0.636226172753014,0.0108976,0.0117278,6.8094157193204e-11,5.0,0.0008297,True,118,case118_ieee,0.0083466,0.5842167138245726,end2end,0.0171285,0.0200744,7.1367262667358e-11,5.0,0.0029456,True,cuda_edge,0.0021159,0.28167436175991306
0.006502499999999998,0.7220643109631257,0.0168932,0.0189258,5.1937488067373e-12,6.0,0.0020319,True,1354,case1354_pegase,0.011551200000000001,0.62098631755094,end2end,0.0233957,0.030477,7.2008648636353e-12,6.0,0.0070809,True,cuda_edge,0.005049,0.2869550480871076
0.007570199999999999,0.7472699532945847,0.0223835,0.0246119,6.7323684104075e-10,5.0,0.002228,True,2746,case2746wop_k,0.012637300000000004,0.6607363379616206,end2end,0.0299537,0.0372492,7.359047070587e-10,5.0,0.0072949,True,cuda_edge,0.0050669,0.30541885426805027
0.006529700000000001,0.6105484779081973,0.0102367,0.0109281,2.127306035716e-13,5.0,0.000691,True,30,case30_ieee,0.0082957,0.5684672125178165,end2end,0.0167664,0.0192238,1.6553092078344e-13,5.0,0.0024572,True,cuda_edge,0.0017662,0.2812143903630148
0.008590500000000001,0.7894490454680257,0.0322096,0.036355399999999996,3.3183448936658e-10,6.0,0.0041453,True,4601,case4601_goc,0.016043900000000007,0.6938146120272598,end2end,0.0408001,0.0523993,4.5089413314158e-10,6.0,0.0115986,True,cuda_edge,0.0074533,0.35739658234614524
0.0062912,0.6929639191609607,0.0141989,0.0157284,1.6513082567864567e-09,5.8,0.0015291,True,793,case793_goc,0.009707,0.6183665285389653,end2end,0.0204901,0.0254354,1.837024786841977e-09,5.8,0.0049451,True,cuda_edge,0.0034159999999999998,0.30921518270611315
0.009524499999999998,0.8339148797410855,0.0478226,0.0538273,2.0281348378503e-09,7.0,0.0060044,True,8387,case8387_pegase,0.018739299999999993,0.7417641173763136,end2end,0.0573471,0.0725666,2.18066533719268e-09,7.0,0.0152189,True,cuda_edge,0.0092145,0.3945357417421758
0.009931200000000001,0.8397883461315093,0.0520568,0.059192299999999996,8.0966068563212e-10,8.0,0.007135,True,9241,case9241_pegase,0.02154960000000001,0.7331051164265393,end2end,0.061988,0.0807419,8.8858107668781e-10,8.0,0.0187537,True,cuda_edge,0.011618700000000003,0.3804582562374358
0.006223500000000002,0.6367069839120181,0.0109073,0.0118549,7.1200455264877e-11,5.0,0.0009471,True,118,case118_ieee,0.008288600000000002,0.5885223521235138,operators,0.0171308,0.0201435,7.198322530262e-11,5.0,0.0030119,True,cuda_edge,0.0020648000000000003,0.3144526710714167
0.006329600000000001,0.7288948662377823,0.0170178,0.0193549,5.3461605385351004e-12,6.0,0.0023366,True,1354,case1354_pegase,0.011080199999999998,0.6359400823391413,operators,0.0233474,0.0304351,5.2298337429219e-12,6.0,0.0070871,True,cuda_edge,0.0047504999999999995,0.3296976196187439
0.007231999999999999,0.7582645318715112,0.022685,0.0253305,7.0668855764594e-10,5.0,0.0026447,True,2746,case2746wop_k,0.0118732,0.6808596994384967,operators,0.029917,0.0372037,5.0561900167602e-10,5.0,0.0072864,True,cuda_edge,0.0046417,0.36296387790953005
0.0062755,0.6218006279718679,0.0103176,0.0110772,2.1426761303246e-13,5.0,0.000759,True,30,case30_ieee,0.0079606,0.5818529451932472,operators,0.0165931,0.0190378,1.6923084224115e-13,5.0,0.0024442,True,cuda_edge,0.0016852,0.31053105310531054
0.008226900000000002,0.7989909108678654,0.0327011,0.0374864,2.9284267233364e-10,6.0,0.0047846,True,4601,case4601_goc,0.015054699999999997,0.7134681230503359,operators,0.040928,0.0525411,4.241711480649e-10,6.0,0.0116125,True,cuda_edge,0.0068279,0.41202152852529605
0.006323500000000001,0.6915365853658536,0.0141765,0.015858399999999998,1.7027526778013917e-09,5.8,0.0016813,True,793,case793_goc,0.0097001,0.620474597492028,operators,0.0205,0.025558499999999998,1.8551185042710082e-09,5.8,0.0050579,True,cuda_edge,0.0033765999999999996,0.33241068427608295
0.009067400000000003,0.8422166306462446,0.0484,0.0555676,2.07555858056088e-09,7.0,0.0071672,True,8387,case8387_pegase,0.0171744,0.7638998102884166,operators,0.0574674,0.072742,2.4968883849397e-09,7.0,0.0152742,True,cuda_edge,0.008107,0.46923570465228953
0.0092128,0.8514481419730592,0.0528046,0.0614276,1.13271834160588e-09,8.0,0.0086226,True,9241,case9241_pegase,0.0192398,0.7614922508968927,operators,0.0620174,0.0806674,4.4753853140757903e-10,8.0,0.0186498,True,cuda_edge,0.010027200000000002,0.46234275970787886
