case_name,from_iter,to_iter,f_inf_from,f_inf_to,f_inf_ratio,f_l2_from,f_l2_to,f_l2_ratio,f_cosine,f_delta_inf,f_delta_over_from_inf
Base_Eastern_Interconnect_515GW,0,1,513.7,15.7348,0.03063032898578937,898.5336450912196,28.851816681890043,0.03210989019666703,-0.9357309426231614,529.4348,1.0306303289857892
Base_Eastern_Interconnect_515GW,1,2,15.7348,0.923146,0.05866906474820144,28.851816681890043,3.254124671032097,0.1127875137607773,0.15521417760427877,15.7205227,0.9990926290769505
Base_Eastern_Interconnect_515GW,2,3,0.923146,0.0291944,0.0316249000699781,3.254124671032097,0.06329870863584407,0.019451838830676357,0.6974412582861704,0.9015751000000001,0.9766332736100249
Base_Eastern_Interconnect_515GW,3,4,0.0291944,1.6066e-05,0.0005503110185515032,0.06329870863584407,4.79328926212529e-05,0.0007572491391097671,0.4418749171120158,0.0291836343,0.9996312409229168
Base_Eastern_Interconnect_515GW,4,5,1.6066e-05,5.63937e-09,0.00035101269762230795,4.79328926212529e-05,7.560260962918785e-09,0.00015772594870618452,0.21966172347698823,1.6067311100000003e-05,1.0000816071206275
Base_West_Interconnect_121GW,0,1,32.049,0.492727,0.015374177041405349,67.67026707603644,0.7511262777321737,0.01109979774260658,-0.20690673361216094,32.541727,1.0153741770414053
Base_West_Interconnect_121GW,1,2,0.492727,0.00577804,0.011726655937263433,0.7511262777321737,0.010431186259126108,0.01388739359594808,0.04885458902426461,0.49261467200000003,0.9997720279180966
Base_West_Interconnect_121GW,2,3,0.00577804,3.67102e-06,0.0006353400114917861,0.010431186259126108,6.463530123735684e-06,0.0006196351942312243,0.4493145996893857,0.00577630213,0.9996992284580931
Base_West_Interconnect_121GW,3,4,3.67102e-06,7.64464e-09,0.0020824294065409613,6.463530123735684e-06,9.116604276310043e-09,0.0014104682892761052,-0.5764816119696865,3.6786646399999997e-06,1.002082429406541
MemphisCase2026_Mar7,0,1,0.00733783,1.56562e-07,2.133628061702165e-05,0.012041332081654938,2.0140411578956527e-07,1.6726066055134048e-05,-0.5104906113678901,0.007337986562,1.000021336280617
MemphisCase2026_Mar7,1,2,1.56562e-07,4.72502e-12,3.017986484587576e-05,2.0140411578956527e-07,5.816317531355231e-12,2.887884147031207e-05,-0.027805743638438327,1.5656203010909999e-07,1.000000192314227
Texas7k_20220923,0,1,1.83283,0.0156249,0.008525013230905213,2.5750456798564443,0.02565679718304976,0.009963627979011269,-0.9160145213455468,1.8484549,1.0085250132309052
Texas7k_20220923,1,2,0.0156249,4.11841e-06,0.00026357992691153223,0.02565679718304976,5.460430350185278e-06,0.00021282587655924284,0.8063228626363224,0.01562381709,0.9999306933164372
Texas7k_20220923,2,3,4.11841e-06,1.84457e-11,4.478840134906432e-06,5.460430350185278e-06,3.1418763127221234e-11,5.753898706199075e-06,-0.04152722660765314,4.11841171015e-06,1.0000004152452038
case_ACTIVSg25k,0,1,45.7795,3.10541,0.06783407420351904,213.05531088628828,6.394132021755176,0.030011605883731515,-0.7419505893798206,48.88491,1.067834074203519
case_ACTIVSg25k,1,2,3.10541,0.0596435,0.019206320582467372,6.394132021755176,0.08745741805806777,0.013677762323409282,0.2425089270671308,3.0913584,0.9954751224475995
case_ACTIVSg25k,2,3,0.0596435,1.8074e-05,0.00030303385951528666,0.08745741805806777,4.323568240557635e-05,0.0004943626666050193,0.613274703989482,0.059625426,0.9996969661404848
case_ACTIVSg25k,3,4,1.8074e-05,1.89754e-09,0.0001049872745380104,4.323568240557635e-05,6.500905592224116e-09,0.00015035973137284534,0.00644440812467286,1.807399833731e-05,0.9999999080065288
