case,n_bus,ybus_nnz,n_pv,n_pq,jac_dim,jac_nnz,analyze_ms,edge_fill_ms,vertex_fill_ms
Base_Eastern_Interconnect_515GW,78478,294392,2038,76439,154916,1143804,108.404,0.0620032,0.185498
Base_Florida_42GW,5658,21384,104,5553,11210,83806,6.76181,0.0052736,0.01024
Base_MIOHIN_76GW,10189,39589,190,9998,20186,155152,12.7099,0.00768,0.0144384
Base_Texas_66GW,7336,27174,239,7096,14431,104763,8.50495,0.0055296,0.0107008
Base_West_Interconnect_121GW,20758,78550,766,19991,40748,302486,24.3302,0.0120832,0.0208384
MemphisCase2026_Mar7,993,3669,187,805,1797,13355,1.0697,0.003584,0.0131584
Texas7k_20220923,6717,24009,589,6127,12843,91901,7.30806,0.0053248,0.014336
case_ACTIVSg200,200,690,37,162,361,2489,0.18902,0.0033792,0.0075776
case_ACTIVSg2000,2000,7334,391,1608,3607,26345,2.14495,0.0035328,0.0111616
case_ACTIVSg25k,25000,85220,2752,22247,47246,318672,25.7693,0.0124928,0.0167936
case_ACTIVSg500,500,1668,55,444,943,6275,0.44226,0.0033792,0.0085504
case_ACTIVSg70k,70000,236636,5894,64105,134104,900558,86.5438,0.0489472,0.12672
